13.12.2018 22:22:54: TOKEN [lnmdt7npdbu6stkc4] FOR dado(76561198044866508) OWNER: 7, ID: 1.70762e+008, JIP: true
13.12.2018 22:23:28: TOKEN [jfr217u72ddiwf3pyk] FOR dado(76561198044866508) OWNER: 8, ID: 2.06068e+008, JIP: true
13.12.2018 22:25:24: TOKEN [yyf3hm3c08wentrjii2] FOR dado(76561198044866508) OWNER: 9, ID: 3.21839e+008, JIP: true
13.12.2018 22:26:45: TOKEN [q1jaf3uq7j51bzx] FOR dado(76561198044866508) OWNER: 10, ID: 4.0358e+008, JIP: true
13.12.2018 22:30:46: TOKEN [gt7r95urto1ntdh] FOR dado(76561198044866508) OWNER: 11, ID: 6.43108e+008, JIP: true
13.12.2018 22:36:20: TOKEN [uoqu97s001mldm] FOR FLASH(76561198288838425) OWNER: 12, ID: 7.09111e+008, JIP: true
13.12.2018 22:36:58: TOKEN [gch99gum5be7r33s] FOR dado(76561198044866508) OWNER: 13, ID: 1.01368e+009, JIP: true
13.12.2018 22:38:45: TOKEN [eteealwkv9zbypo4] FOR v1(76561198168988383) OWNER: 14, ID: 4.93349e+008, JIP: true
13.12.2018 22:49:22: TOKEN [y2pp3r2535e12ht] FOR dado(76561198044866508) OWNER: 15, ID: 1.75745e+009, JIP: true
13.12.2018 23:05:32: TOKEN [pwmoshnhvdflp3cuj] FOR dado(76561198044866508) OWNER: 17, ID: 5.7969e+008, JIP: true
13.12.2018 23:06:05: TOKEN [h1z70ci43ds7cg6z] FOR dado(76561198044866508) OWNER: 18, ID: 6.14724e+008, JIP: true
