11.12.2018 21:50:08: TOKEN [njhqd4d8w6jkkt] FOR v1(76561198168988383) OWNER: 5, ID: 1.56784e+009, JIP: true
11.12.2018 21:52:17: TOKEN [i26xfbyo5uihzo1xu] FOR Franck Idraned(76561198227507388) OWNER: 6, ID: 9.29346e+008, JIP: true
11.12.2018 21:52:35: TOKEN [de2bu84muocwo3nepp5] FOR v1(76561198168988383) OWNER: 7, ID: 1.78068e+009, JIP: true
11.12.2018 21:54:46: TOKEN [qlbuztrx3seef5] FOR Lazouille(76561197981840743) OWNER: 8, ID: 5.05078e+008, JIP: true
11.12.2018 21:55:02: TOKEN [sn9cdxs2v5hvn8u6fo4] FOR v1(76561198168988383) OWNER: 9, ID: 1.92862e+009, JIP: true
11.12.2018 21:55:12: TOKEN [j8imwzh4yp1bo47] FOR Franck Idraned(76561198227507388) OWNER: 10, ID: 1.10442e+009, JIP: true
11.12.2018 21:59:44: TOKEN [c18ob92om6wqtumwk6] FOR Franck Idraned(76561198227507388) OWNER: 11, ID: 1.34783e+009, JIP: true
11.12.2018 22:02:32: TOKEN [ljj3dpq5l0hfgk32] FOR Franck Idraned(76561198227507388) OWNER: 12, ID: 1.54334e+009, JIP: true
11.12.2018 22:15:45: TOKEN [w3umcekn0bxxl1gs7vm] FOR Franck Idraned(76561198227507388) OWNER: 13, ID: 1.89603e+008, JIP: true
11.12.2018 22:36:04: TOKEN [cduj5xdrkku9m2yi] FOR Franck Idraned(76561198227507388) OWNER: 14, ID: 1.40862e+009, JIP: true
11.12.2018 22:43:10: TOKEN [fkzeuhc22nk2ri8] FOR Franck Idraned(76561198227507388) OWNER: 4, ID: 1.79824e+009, JIP: true
11.12.2018 22:51:06: TOKEN [sdj5wsyu36uoq788tkv] FOR Franck Idraned(76561198227507388) OWNER: 8, ID: 1.65552e+008, JIP: true
11.12.2018 22:54:54: TOKEN [mjyjm0kwwmh1n03lc] FOR dado(76561198044866508) OWNER: 9, ID: 1.01014e+009, JIP: true
11.12.2018 23:19:41: TOKEN [u69keg7vl9zuys2] FOR dado(76561198044866508) OWNER: 4, ID: 4.0928e+008, JIP: true
11.12.2018 23:21:04: TOKEN [q2mz5qw13tzwrmyr9] FOR dado(76561198044866508) OWNER: 5, ID: 4.89953e+008, JIP: true
11.12.2018 23:35:10: TOKEN [djq8t2g6ivke8hxx] FOR dado(76561198044866508) OWNER: 6, ID: 1.33265e+009, JIP: true
11.12.2018 23:36:12: TOKEN [jvnvore1g6ecom] FOR dado(76561198044866508) OWNER: 7, ID: 1.39997e+009, JIP: true
